原作人物名,姓,名,名1,名2,原作名,原作简称,灵异传,封魔录,梦时空,幻想乡,怪绮谈,其他BGM,红魔乡,妖妖梦,永夜抄,萃梦想,花映塚,小数点stg,风神录,绯想天,地灵殿,星莲船,非想天则,神灵庙,心绮楼,辉针城,深秘录,绀珠传,凭依华,天空璋,鬼形兽,虹龙洞,刚欲异闻,兽王园,锦上京,秘封,猪,STG1,STG2,STG3,STG4,STG5,虹龙洞锦上京,二同和其他stg,二同简称,二同人物1,二同人物2,二同人物3,二同人物4,二同人物5,二同人物6,并非二同,神奇小道具,CP,场景,杂项,种族,符卡（红）,符卡名,符卡名,符卡（妖）,符卡名,符卡名,符卡名,符卡（萃）,符卡（永）,符卡名,符卡名,符卡（花）,符卡（文）,符卡（风）,符卡名,符卡名,符卡（绯）,符卡（地）,符卡名,符卡名,符卡（星）,符卡名,符卡名,符卡（则）,符卡（DS）,符卡（大）,符卡（神）,符卡名,符卡名,符卡（心）,符卡（辉）,符卡名,符卡名,符卡（弹）,符卡名,符卡（深）,符卡（绀）,符卡名,符卡名,符卡（凭）,符卡（天）,符卡名,符卡名,符卡（噩）,符卡（鬼）,符卡名,符卡名,符卡（刚）,符卡（虹）,符卡名,符卡名,符卡（黑）,符卡（兽）,符卡（锦）,符卡名,符卡名,符卡（其它）
博丽灵梦,博丽,灵梦,红白,赤色杀人魔,东方灵异传,灵异传,永远之巫女,东方封魔录,梦想超越时空,装饰战,魔法阵,飞翔在夜晚的鸠山,比赤色更红的梦,妖妖梦,蠢蠢的秋月,夜幕降临,春色小径,天狗的笔记,被封印的众神,日常坐卧,地灵们的起床,青空之影,你见到了那个影子吗,欲望深重的灵魂,幻想乡的二岩,不可思议的驱魔棒,震撼心灵的都市传说,宇宙巫女现身,圣辇船飞向天空,樱花舞落的天空,沉默的兽灵,架起虹桥的幻想乡,被水淹没的沉愁地狱,兽之智慧,锦上巫女,走在夜晚的莲台野,黑猪,符卡,点弹,预警线,底力,杂鱼,不死鸟,,雪晶石,卧天则闪,海重乃汐,八百比海琴,干草光线,,,无耳,封魔针,主角组,博丽神社,油库里,地缚灵,灵符,梦想封印,,,梦想封印,,,梦想妙珠,,梦想妙珠,,阴阳印,地上的恒星,,纷乱的落叶,,梦想妙珠,,违背常识的另一侧,,,退魔符乱舞,,守护商业繁荣,落入疾风,完美冻结,,梦想封印,,梦想封印,,无情的驱魔棒,,月狂红拍,,梦想封印,,梦想封印,,梦想封印,,梦想樱花封印,,鹰之射击,,梦想封印,,无理由的无差别降伏,,弹幕万来,,弹幕万来,蹂躏阴阳玉,,宇宙尘埃,宇宙尘,火雷神
雾雨魔理沙,雾雨,魔理沙,黑白,,东方封魔录,封魔录,东方怪奇谈,净土曼荼罗,东方妖恋谈,红响曲,梦想时空,幻想帝都,如鬼灯般的红色之魂,无何有之乡,夜雀的歌声,御伽之国的鬼岛,宇佐大人的白旗,风的循环,眷爱众生之神,地之色乃黄色,昏暗的风穴,春之港湾,传说的巨神,死灵的夜樱,亡失的情感,秘境的人鱼,幻想乡不可思议发现,那曾依藉的绿意,法力之下的平等,希望之星直升青霄,只有地藏知晓的哀叹,妖异们的骤雨,东方刚欲异闻,世间万物皆可爱,所爱所怜的凡尘居所,少女秘封俱乐部,白猪,非符,菌弹,生成杀,视野,道中,上海人偶,西方幡紫龙,幡紫龙,芙蕾雅,黄媛祸,八百比恵,米莱莉姆,,,囧仙,八卦炉,灵魔,妖怪兽道,云里雾里沙,骚灵,梦符,封魔阵,,,封魔阵,,,梦想封印,,梦想封印,,梦想封印,月之暗面,,无常秋日与少女的心,,梦想封印,,萃灵花,,,梦想封印,,灰色奇术,暖色的收获,狂雨,,极限火花,,阴阳飞鸟井,,梦想封印,,完美冰川学家,,阴阳飞鸟井,,极限火花,,八方龙杀阵,,凉爽的向日葵,,草莓大团子,,极限火花,,无理由的阴阳玉乱舞,,弹灾招福,,对三花猫谈小判,库存全部阴阳玉,,,唐柜翻转,金山彦命
露米娅,,,,,东方梦时空,梦时空,天使传说,博丽,梦消失,灵战,灵天,华之幻想,妖魔夜行,远野幻想物语,已经只能听见歌声了,夏明,剧毒身体,天狗正凝视着,会受稻田姬的斥责啦,甲论乙驳,被封印的妖怪,小小的贤将,我们的非想天则,欢迎来到妖怪寺,尘世不变的悲观主义,往来于运河的人与妖,有珠子的日常,忘不了那曾依藉的绿意,恒常不变的参庙祀,仲夏的妖精梦,石之婴儿与水中牛,大吉猫咪,天理人欲,魔兽紧急升空,即便为世间所遗忘,古老的冥界寺,红猪,残机,粒弹,死尸弹,机控,关底,背后之门,西方秋霜玉,秋霜玉,时焉侑,江西䌷,观福宫乙姬,斯兹美,,,星期六上线,白楼剑,灵蕾,间歇泉,二同,贫穷神,恋符,星尘幻想,,,二重结界,,,封魔阵,,四重结界,,博丽幻影,蝴蝶风暴,,谷物神的允诺,谷物神,八方鬼缚阵,,乌鸦的暗影,,,极限火花,,暴乱神签连掷,遗失的叶堆,月面气旋,,灰色奇术,,八方龙杀阵,,黑暗火花,,湖中的潮汐波,,八方龙杀阵,,操纵蛤蟆,,阴阳飞鸟井,,天狗暴风雨,,兔子驯鹰者,,六根清净斩,,荒诞至极的无差别降伏,,,木隐的技术,五谷丰穰波,降伏鬼畜生无须慈悲,,唐柜大翻转,,天津瓮星
大妖精,,,大酱,,东方幻想乡,幻想乡,破邪的小太刀,黑暗的力量,梦幻游戏,少女绮想曲,禁忌的魔法,红梦之宙,活泼的纯情小姑娘,凋叶棕,令人怀念的东方之血,东方萃梦想,今昔幻想乡,东之国的不眠夜,厄神降临之路,风光明媚,阻绝人迹之桥,封闭的云中通路,人偶存在的风景,寺门前的妖怪小姑娘,心绮楼囃子,柳树下的杜拉罕,显现的传承形态,兔已着陆,光辉的天球仪,妖怪山间无色风,不朽的曼珠沙华,深绿掩映的断崖,大地之底刚欲之海,悠久山上鬼,森林里面有鬼怪哦,魔术师梅莉,绿猪,判定,滴弹,击破撞,规划,一非,太古的勾玉,西方稀翁玉,稀翁玉,博丽梦入,七宝万华,深堂香澄,法布丽蒂丝,,,雨天放晴,御币,原点,人类村落,三同,疫病神,,极限火花,,,星尘幻想,,,八方鬼缚阵,,极限火花,,星尘,子夜之鸟,,厄神大人的生理节律,,明珠暗投,,远程献祭,,,终极短波,,海水分开之日,甜美的番薯房,小型彗星,空观剑,六根清净斩,,梦想天生,,魔法吸收阵,,冰霜之王,,人至之处的青山,,邪恶波动,,在那隙间里面居然有个巫女,,极限火花冻结,,团子三姐妹,,石头针叶林,,被污染的阴阳玉乱舞,,,最深的森域,致命飞蝶,射向兽王,,尘埃栖所,,石凝姥命
琪露诺,,,,,东方怪绮谈,怪绮谈,魔镜,幻梦界,魔法决战,星之器,绯红的少女,天空军团,上海红茶馆,布加勒斯特的人偶师,永夜的报应,魔所,彼岸归航,回忆京都,命运的阴暗面,散发着香气的树叶花,绿眼的嫉妒,请注意万年备用伞,悠久的蒸汽机关,在美妙的墓地里住下吧,有人气的场所,满月的竹林,时代风潮的造访,湖上倒映着洁净的月光,泽之河童的技术力,深山的遭遇,幸运与不幸,驹草盛开的万年积雪,刚欲之海,勇敢又慵懒的妖兽,祭司王约翰的黄金境,月之妖鸟化猫之幻,紫猪,得点,小玉,随机弹,折返,二非,太古勾玉,连缘,,九鬼梦沙罗,奇李蝶蚕·阿尔卡罗伊德,水无月燕,芙玛·米珊朵拉,,,星苗火紫,御札,原点组,人间之里,东二同,厄神,,月亮光,月光,,银河,,,阴阳宝玉,,究极火花,,星尘幻想,钻石风暴,,损坏的护符,,阴阳宝玉,,五个季节,,,神代大蛇,,白昼的客星,嫉妒轰炸机,星星点点,,,死蝶之舞,神社繁盛祈愿札,,银色异次元,,鱼群,,封印月卿之针,凶弹,高速撞击,,封印月卿之针火花,,凤蝶的鳞粉,,蝴蝶之梦,,大孩子们的灵薄狱,,无差别咒杀降伏,,绿色龙卷,谔谔草,斩至崩口卷刃,御风者,,狂野山涧之气,山涧之气,天宇受卖命
红美铃,,美铃,红师傅,,东方红魔乡,红魔乡,直到倒地死去的那一刻,以死相赌,非统一魔法世界论,沉睡的恐怖,背叛的少女,斯普特尼克幻夜,明治十七年的上海爱丽丝,人偶裁判,灰姑娘的笼子,月轮,第六十年的东方审判,,众神眷恋的幻想乡,飞舞的水飞沫,漫游旧地狱街道,守旧老爹与前卫少女,未知物,古老的元神,无人气的场所,孤独的狼人,价值不明,九月的南瓜,地底绽放的蔷薇,徜徉于樱色之海,陶瓷的杖刀人,日渐荒废的工业遗址,贪欲之兽的记忆,吸血怪兽卓柏卡布拉,事已至此就赌上性命来猜谜吧,化猫之幻,粉猪,最大得点,环玉,自机狙,控枪,三非,守财奴,连缘无现里,无现里,雾雨顺子,王贵人也,涡岛鸣子,明津祢津,,,雾雨威,御柱,结界,人里,东三同,石之女神,,夜中鸟,夜雀,,非定向激光,,,阴阳鬼神玉,,狡猾的献祭,,幻觉之星,寒潮,,大钟婆之火,大肥婆,阴阳鬼神玉,,光学迷彩,,,操纵蛤蟆,,遗忘之祭仪,禊川的沉积,闪耀蓝宝石,,,幽魂聚地,梦幻的高速祈愿札,,双重消失,,原始呐喊,,粗暴的世界裂隙,,鹰已击中,鹰击,飞鹰的梦想封印狩猎,,盛夏振翅,,沾身难下的鳞粉,,沉重的石之婴儿,,鲜血浸透的阴阳玉乱舞,,惊愕的云间草,云间草,人鱼之歌,多重伏击猎人,,窒息森林之气,森林之气,天照大御神
小恶魔,,,,,东方妖妖梦,妖妖梦,来吧直到倒地死去的那一刻,神篱,魔法钟爱,幽梦,可悲的人偶,机械马戏团,伏瓦鲁魔法图书馆,玩弄人形的少女,狂气之瞳,遍参,映花之塚,你所在之城的怪事,芥川龙之介的河童,以鱼驱蝇,大江山的花之酒宴,幽灵客船的穿越时空之旅,空中飘浮的物体X,梦殿大祀庙,丑时三刻的村落,幻想净琉璃,相信可能性,飞翔于宇宙的不可思议巫女,在深绿的狸森里,成对的神兽,寄世界于偶像,神代矿石,全有机体的记忆,不回首的黄泉路,猎鹿旧忆回潮,月之妖鸟,蓝猪,处理落,中玉,交叉弹,停枪,四非,死秽回避之药,连缘蛇丛剑,蛇丛剑,不知火米兰,心凹守,须佐乃森木叶,望月一曜,,,覭千缘,阴阳玉,结界组,柳之运河,车万,付丧神,,边界线,境界线,,极限火花,,,梦想妙珠连,,回归虚无,,个人幻影,负开尔文,创符,流放人偶,流刑人偶,天霸风神脚,,钓瓶落之怪,钓瓶落,棒符,忙碌探宝棒,,客星辉煌之夜,积怨返,阳光冲击波,,常夜樱,,对妖怪方位清除,,终极风暴,,极长的脖子,,幻想结界缝隙,,月狂之枪,,最强最棒的异变解决巫女,,被诅咒的豪雨,,慈爱的地藏,,三途的沦溺,,旧血池地狱暴力封锁,,妖魔喧嚣的薄雪草,薄雪草,剽掠涟漪,狛犬大回转,,暴怒山岳之气,山岳之气,伊豆能卖
帕秋莉·诺蕾姬,,,姆Q,,东方萃梦想,萃梦想,同归于尽,如紫色火焰般燃烧,久远之梦,不可不禁止的游戏,世界的尽头,卡纳维拉尔角的梦幻少女,少女密室,天空的花都,千年幻想乡,内心,此岸之塚,现代妖怪殖民地,秋意渐浓之瀑,放纵不羁,少女觉,魔界地方都市秘境,巨大的影子与渺小的结局,大神神话传,本日的头版头条,沉向空中的辉针城,知晓真相之人,永远的春梦,不灭的赤魂,幻想的白色旅人,闪耀的弱肉强食法则,渴盼已久的逢魔之刻,,越轨者们的无碍光,沉入记忆深海的少女,过去的花,,处理落率,大玉,爆菊弹,背版,五非,不死药,连缘灵烈传,灵烈传,角旗天一,新帝梅,雨津海遥,谢莉亚·莱拉克,,,二色幽紫蝶,隙间,咏唱,寺子屋,,秘神,,冰雹暴风,,,无差别伤害,,,阴阳散华,,杀人玩偶,,神秘的杰克,北极的胜利者,光学,光学迷彩,流刑,梦想天生,,石窟的蜘蛛巢,,搜符,,,摩西之奇迹,诅咒的雏人偶,金红石折射,,西行樱吹雪,樱吹雪,信仰心增加祈愿之仪,,尾鳍拍击,,尖刺之圆,,极限火花,,浆果浆果团子,,极限火花,,山姥的鬼菜刀研磨,,菩萨践踏,,饿鬼围城,,暴力口蘑,山花,杀戮的山之女王,,轻快的人头生活,宝石雨,谜符,,,闪光跳弹
十六夜咲夜,十六夜,咲夜,,,东方永夜抄,永夜抄,星幽剑士,恋色Magic,东方的蓝色天空,女仆幻想,神话幻想,魔法少女十字军,女仆与血之怀表,幽灵乐团,竹取飞翔,间奏曲,花如幻想一般,复仇女神的要塞,妖怪之山,嘲讽的游戏,废狱摇篮曲,虎纹的毘沙门天,,小小欲望的星空,晓云,针小棒大的天守阁,外界民俗,冻结的永远之都,落日映照下的逆城,魔法的笠地藏,圣德太子的天马,天魔之山漫天星,,兽王们的小憩,金字塔的神域,过去之花,,火力,链弹,护身弹,版面,六非,弱肉强食之理,连缘天影战记,天影战记,荣术丸樱,心天卦,风花,伊芙妮娅,,,东游鉴,鬼之臂,咏唱组,稗田邸,黄昏边境,动物灵,,完美冻结,,,杀人玩偶,,,魔净闪结,,夜雾幻影杀人鬼,,缠缚剑,天照,,水迷彩,,祛除厄运之祈愿,,原因不明的热病,,,黄金探测器,,九字切,单脚投手返,寒冰熔解器,,樱吹雪地狱,,二大宗教九字护身法,,逆鳞的大惊涛,,地狱之光,,闪亮之星,,团子影响力,,闪亮之星,,,深山谋杀,生机勃勃的弹幕魔像,,分水的顶级试炼,,暴力火焰茸,,阴阳神玉,,艾哲垒石,兔之射击,,六角迷宫,,我的世界
